id,title,abstract,is_generated
11,Studējošo jautājumu dabiskās valodas analīze,"Šajā rakstā tiek apskatītas metodikas un rīki, kas izmantoti studējošo jautājumu dabiskās valodas analīzē. Tiek uzsvērta nozīme, kāda ir dabiskās valodas analīze, lai saprastu studējošo vajadzības un problēmas, ar ko saskaras mācību procesā. Rakstā tiek apskatīti arī dažādi piemēri un gadījumi, kas skaidro, kā var izmantot dabiskās valodas analīzi, lai uzlabotu studiju kvalitāti un efektivitāti. Galvenais raksta mērķis ir sniegt lasītājiem izpratni par dabiskās valodas analīzes nozīmi studiju procesā un iespējamajām metodēm, kas varētu palīdzēt uzlabot studiju procesu.",1
12,"Cilvēka kustību novērošana, izmantojot inerciālos sensorus","Šajā pētījumā tiek apskatīts cilvēka kustību novērošanas process, izmantojot inerciālos sensorus. Šī tehnoloģija ir ļoti daudzsološa, jo to var izmantot dažādās jomās, piemēram, veselības aprūpē un sporta zinātnē. Pētījuma mērķis ir izpētīt, kā inerciālie sensori var tikt lietoti, lai novērotu cilvēka kustības, un kā šī informācija var tikt interpretēta un izmantota praktiskajā dzīvē. Pētījuma rezultāti varētu palīdzēt izstrādāt jaunas tehnoloģijas un risināt dažādas sabiedrības problēmas, kuras saistītas ar kustību un veselību.",1
13,Maskēšanas rakstu noteikšana attēlos,"Šī pētījuma mērķis ir izstrādāt algoritmu, kas spēj noteikt, vai attēlā ievietota maskēšanas rakstā. Maskēšanas rakstu noteikšana attēlos ir svarīga uzdevums, kas varētu būt noderīga dažādās jomās, sākot no medicīnas līdz pat drošībai. Pētījumā tiks izmantoti dažādi datorredzes un mašīnmācīšanās algoritmi, lai identificētu un klasificētu maskēšanas rakstus attēlos. Tā kā maskēšanas raksti ir bieži sastopami medicīniskos attēlos, piemēram, rentgena un MRI skenējumos, šis pētījums varētu palīdzēt ārstiem veiksmīgāk un precīzāk diagnosticēt slimības un traumas. Lai sasniegtu pētījuma mērķi, tiks veikta apjomīga datu apstrāde un algoritmu trenēšana un pārbaude, lai nodrošinātu augstu attēla analīzes precizitāti un zušanas ātrumu.",1
14,Skeitborda triku klasifikācijas metodes izmantojot mašīnmācīšanos ar IMU sensoru datiem,"Šajā pētījumā tiek apskatīts skeitborda triku klasifikācijas process, izmantojot mašīnmācīšanos ar inertsākuma mērietāju (IMU) sensoru datiem. Pētījuma mērķis ir attīstīt precīzas un uzticamas metodes skeitborda triku klasifikācijai, lai uzlabotu mākslīgā intelekta (AI) modeļu veiktspēju un skeitborda skatuves izpratni. Pētījums ietver datu ieguvi, tās apstrādi un analīzi, kā arī modelēšanu un izmēģinājumus ar dažādām metodēm. Galvenais secinājums ir tas, ka IMU sensoru dati ir noderīgi skeitborda triku klasifikācijai, un izmantojot mašīnmācīšanās algoritmus, var iegūt precīzas klasifikācijas rezultātus. Šī pētījuma rezultāti var palīdzēt skeitborda kopienai izprast skeitborda triku modeļus un veicināt jaunu triku izstrādi.",1
15,Reālā laika pārraudzības sistēmas “Monasca” ieviešana,"Šajā rakstā tiks apskatīts reālā laika pārraudzības sistēmas “Monasca” ieviešanas process. Tiks izskatīti tās galvenie komponenti, kā arī to svarīgākie pielietojumi un priekšrocības. Rakstā tiks pastāstīts, kā “Monasca” sistēma var uzlabot uzņēmuma datu pārraudzības un analīzes procesus, kā arī kāpēc tā ir noderīga dažādiem uzņēmuma nozares un līmeņiem. Rakstā tiks apskatīti arī daži piemēri, kā “Monasca” sistēma ir palīdzējusi dažādos uzņēmumos efektīvāk pārraudzīt un analizēt to datu plūsmu, kas varētu izraisīt riskus vai problēmas.",1
16,Iegulto sistēmu reāllaika profilēšana ar ARM Serial Wire Viewer,"Šajā darba tēmā tiek apskatīta iegulto sistēmu reāllaika profilēšana, izmantojot ARM Serial Wire Viewer (SWV). Profilēšana ir svarīga, lai uzlabotu sistēmas veiktspēju un atklātu kļūmju cēloņus. SWV piedāvā integrētu profilēšanu un atbilstošo rīku komplektu, kas var palīdzēt izpētīt sistēmas uzvedību un optimizēt tās darbību. Šajā darbā tiek aplūkots SWV darbības princips, tā svarīgākie funkcionalitātes, atbalstīto vides un konfigurācijas noteikumi. Darba gaitā tiks pārbaudīta SWV veiktspēja izmantojot testa piemērus. Darbs noslēgsies ar SWV piemēriem, kas tiks izmantoti, lai uzlabotu iegulto sistēmu veiktspēju un attīstītu labāk izstrādātu un stabilāku programmatūru. Overall, šī tēma ir svarīga programmēšanas un iegulto sistēmu inženierijas studentiem, kas vēlas attīstīt savas prasmes un uzlabot savu iegulto sistēmu darbību.",1
17,"Attālināts automašīnu monitorings, izmantojot lietu interneta un bezservera tehnoloģijas","Šī pētījuma mērķis ir izstrādāt attālinātu automašīnu monitoringu, izmantojot lietu interneta un bezservera tehnoloģijas. Pētījums apskata konkrētas tehnoloģijas, kas ļauj novērot un kontrolēt automašīnu pārvietošanos un stāvokli, tādējādi uzlabojot drošību un efektivitāti. Atslēgvārdi šajā pētījumā ir lietu internets, bezservera tehnoloģijas, monitorings un automašīnas drošība.",1
18,Virtuālā aģenta izveide komunikācijas atbalstam,"Šī raksta anotācija skar tēmu par virtuāla aģenta izveidi, kas ir efektīvs rīks komunikācijas atbalstam. Virtuālie aģenti var dot atbildes uz jautājumiem, sniegt palīdzību un uzlabot klientu apkalpošanas procesus. Šajā rakstā, tiks apskatīta virtuālā aģenta izveides nozīme un kā tas var palīdzēt uzņēmumiem uzlabot klientu apkalpošanas procesu, atcerēties faktus un dot atbildes uz bieži uzdotiem jautājumiem. Tiks apskatīti virtuālā aģenta darbības princips, kā arī sniegti piemēri no dažādiem uzņēmumiem. Šis raksts būs noderīgs uzņēmumiem, kas meklē jaunus risinājumus klientu apkalpošanā un vēlas uzlabot savu interakciju ar klientiem, izmantojot tehnoloģiskus risinājumus.",1
19,TSCH protokola plānotājs,"Šīs tēmas anotācijā tiks apskatīts TSCH (Time Slotted Channel Hopping) protokola plānotājs, kas ir viens no būtiskajiem elementiem bezvadu sensoru tīklos. TSCH protokola mērķis ir palielināt tīkla veiktspēju un enerģijas efektivitāti, izmantojot laika ieslēgšanas (time slotting) un kanāla pārbīdi (channel hopping) tehnoloģijas. Plānotājs ir TSCH protokola modulis, kas atbild par laika slotu un kanālu piešķiršanu sensoriem, lai optimizētu tīkla komunikāciju. Šajā anotācijā tiks apskatītas TSCH protokola plānotāja struktūra, darbības princips un ietekme uz tīkla efektivitāti un uzticamību.",1
20,APEX izvērtējums LUIS moduļu izstrādē,"Šajā rakstā apskatīts LUIS moduļa izstrādē izmantojamais programmēšanas rīks APEX. Rakstā tiek sniegts detalizēts apraksts par to, kā izstrādāt LUIS moduli, izmantojot APEX programmatūru, kā arī tiek apskatītas APEX iespējas, kas palīdzēs veidot darbīgus un efektīvus LUIS modeļus. Turklāt, rakstā tiek sniegts salīdzinājums ar citiem populāriem programmēšanas rīkiem un izskaidrotas APEX priekšrocības salīdzinājumā ar tiem. Raksts ir piemērots gan programmētājiem, gan iesācējiem, kas vēlas izstrādāt LUIS moduli, izmantojot APEX programmatūru un paplašināt savas zināšanas par to.",1
21,Risinājuma izveide tīkla iestatījumu konfigurēšanai Docker virtualizācijas platformā reāllaika komunikāciju programmatūras testēšanai,"Šajā rakstā tiek apskatīts risinājuma izveide, kas paredzēta tīkla iestatījumu konfigurēšanai Docker virtualizācijas platformā reāllaika komunikāciju programmatūras testēšanai. Autors apskata vairākas metodes un rīkus, kas var palīdzēt efektīvi konfigurēt un testēt programmatūras sistēmas, izmantojot Docker. Rakstā tiek izmantotas praktiskas piemēru situācijas, kurās šis risinājums var būt noderīgs, kā arī tiek nodrošināts detalizēts apraksts par iestatījumu konfigurēšanu un pielāgošanu Docker vidē, lai nodrošinātu veiksmīgu programmatūras darbību un testēšanu. Galvenais atziņu sasniegums rakstā ir risinājuma efektīva pielāgošana un pielietošana reāllifas situācijās, kas var palīdzēt uzlabot programmatūras testēšanas procesu uzņēmumā.",1
22,Dabiskās vides scēnu uztvere un simulācija datorredzes sistēmā,"Šajā rakstā tiek apskatīts, kā datorredzes sistēmas izmanto dabiskās vides scēnu uztveri un simulāciju, lai uzlabotu cilvēku mijiedarbību ar videi un paaugstinātu dažādu uzdevumu veikšanas efektivitāti. Rakstā tiek izskatīti arī veidi, kā šī tehnoloģija var tikt izmantota dažādās nozarēs, piemēram, militārajās operācijās, medicīnas diagnozē un izglītības procesā. Atsauces uz aktuāliem zinātniskajiem pētījumiem, kas aplūko šo tēmu, padara rakstu par interesantu lasāmvielu gan speciālistiem, gan plašākai sabiedrībai, kas interesējas par jaunumiem tehnoloģiju nozarē.",1
23,Jaukšanas-Apmaiņas tīkli – jaunas neironu tīklu arhitektūras plašam uzdevumu klāstam,"Anotācija:Šī pētījuma tēma sniedz ieskatu par jauno neironu tīklu arhitektūru - Jaukšanas-Apmaiņas tīkliem (GAN), kas spēj apgūt daudzveidīgus uzdevumus, piemēram, attēlu un teksta generēšanu vai pārveidošanu. Autors izskata šo tīklu sastāvdaļu darbību un to pielietojumu praksē, kā arī analizē sasniegtos rezultātus dažādos projektos. Pētījums sniedz ieskatu par jaunām tehnoloģijām un to ietekmi uz informācijas apstrādes jomu.",1
24,Mikroservisu veidošana ar Micronaut ietvaru,"Šajā rakstā ir apskatīta tēma par Mikronaut ietvaru, kas ir moderns un viegls Java ietvars, kas speciāli izstrādāts mikroservisu arhitektūras izveidošanai. Raksts izklāsta galvenās priekšrocības, kuras varētu izmantot, izstrādājot mikroservisus ar Mikronaut ietvaru. Tiek detalizēti apskatītas galvenās tehniskās īpašības, kas ļauj palielināt produktivitāti, kā arī nodrošināt lielāku drošību. Tiek apskatītas arī dažādas tipiskas problēmas, ko varētu sastapt, veidojot mikroservisu ar Mikronaut ietvaru, un tiek sniegti risinājumi, kā tās novērst. Raksts ir noderīgs visiem, kas vēlas izveidot mikroservisus, kā arī interesentiem, kuri meklē jaunus, modernus risinājumus Java izstrādē.",1
25,ETL rīku funkcionalitātes pielāgošanas iespējas datu avotu izmaiņām.,"Anotācija ""ETL rīku funkcionalitātes pielāgošanas iespējas datu avotu izmaiņām"" raksturo funkciju, kuru ETL rīki piedāvā, lai pielāgotu datu avotu izmaiņas. Tas atvieglo datu izguvi, transformāciju un ielādi, ja datu avotu struktūra mainās. Raksturojums apkopo ETL rīku spēju pielāgoties datu avotu izmaiņām, kā arī to efektivitāti, nodrošinot, ka datu pārneses process tiek veikts vienkārši un efektīvi, neatkarīgi no datu avota izmaiņām. Šī anotācija ir lietderīgs resurss speciālistiem, kas strādā ar ETL rīkiem un vēlas uzlabot datu apstrādes procesus ar datu avotu izmaiņu vadību un pārvaldību.",1
26,Mašīntulkotu nosaukto entitāšu gramatisko locījumu noteikšana automātiskajā pēcrediģēšanā,"Šajā pētījumā tiek apskatīta mašīntulkošanas tehnoloģiju pielietošana automātiskajā pēcrediģēšanā, konkrēti - nosaukto entitāšu gramatisko locījumu noteikšana. Tā kā nosauktās entitātes (piemēram, personas vārdi, uzņēmumu nosaukumi utt.) var būt ļoti dažādas, arī to gramatiskās locīšanas likumi var ievērojami atšķirties. Pētījums izmanto dažādus mašīnmācīšanās un dabiskās valodas apstrādes algoritmus, lai uzlabotu automātisko pēcrediģēšanu un samazinātu redakcijas kļūdu skaitu. Šāda veida uzlabojumi varētu ļoti pozitīvi ietekmēt gan tulkošanas, gan redaktoru darbu efektivitāti un produktivitāti.",1
27,Datorvizualizāciju uztvere reakcijas laiku un preferenču eksperimentos,"Tēmas ""Datorvizualizāciju uztvere reakcijas laiku un preferenču eksperimentos"" anotācijā aprakstīts, kā ar datorvizualizācijas palīdzību ir iespējams pētīt un izprast cilvēku reakcijas laiku un izvēles procesu. Tēmas ietvaros apskatīti arī dažādi eksperimenti un to rezultāti, kas ir saistīti ar datorvizualizācijas izmantošanu dažādos pētījumos. Šis ir nozīmīgs tematiskais virziens attiecībā uz informācijas vizualizāciju un cilvēku uztveres procesiem.",1
28,Informācijas sistēmas izstrāde bezservera tehnoloģijās,"Anotācija:Šajā materiālā tiek apskatīts jaunākais trendu virziens programmēšanas jomā - izstrāde bezservera tehnoloģijās. Tiek sniegts plašs ieskats par to, kā informācijas sistēmas var tikt izstrādātas, izmantojot bezservera tehnoloģijas, kādas priekšrocības tām ir salīdzinājumā ar tradicionālo serveru bāzēto sistēmu izstrādi un kādas ir to iespējas un ierobežojumi. Materiāls ir piemērots programmēšanā un IT nozares speciālistiem kā arī visiem tiem, kuri ir ieinteresēti jaunākajās tehnoloģiju attīstībās.",1
29,Skolotāju profesionālo organizāciju tīmekļa vietņu dizaina izstrādes vadlīnijas,"Šajā rakstā tiek apskatītas skolotāju profesionālo organizāciju tīmekļa vietņu dizaina izstrādes vadlīnijas. Tās sniedz praktiskus ieteikumus, kā izveidot efektīvu, viegli pieejamu un viegli lietojamu tīmekļa vietni skolotāju profesionālo organizāciju vajadzībām. Rakstā tiek apskatītas dažādas nozīmīgas funkcijas, kas jāiekļauj dizaina procesā, piemēram, izvēle atbilstošas krāsu paletes, fontu izvēles, attēlu izmantošanas kritēriji, izmantojot nepieciešamās funkcijas, lai nodrošinātu vieglu un praktisku orientēšanos vietnē. Šī raksta noderīgie ieteikumi palīdzēs skolotāju profesionālo organizāciju administrātoriem izstrādāt mūsdienīgus un efektīvus dizainus, kas nodrošina veiksmīgu interakciju ar lietotājiem.",1
30,Mūsdienu iespējas tīmekļa un mobilo vairākplatformu lietotņu izstrādē,"Šajā tēmā tiek apskatītas mūsdienu iespējas tīmekļa un mobilo vairākplatformu lietotņu izstrādē. Autors izskata dažādus risinājumus, kas palīdz uzlabot lietotņu sniegumu un optimizēt to izstrādi. Tiek apskatīti arī dažādi rīki un tehnoloģijas, lai vienkāršotu un paātrinātu izstrādi. Šīs tēmas anotācija nodrošina informāciju par dažādām metodēm, kuras var izmantot, lai izstrādātu augstas kvalitātes lietotnes, kas darbojas uz dažādām platformām.",1
31,Šaha uzdevumu ģenerēšana,"Šaha uzdevumu ģenerēšana ir viens no aizraujošākajiem pētniecības virzieniem datorzinātnē. Tēmas mērķis ir izpētīt, kā datori var automātiski radīt šaha uzdevumus un uzdevumu risinājumus, izmantojot algoritmus un mašīnmācīšanās metodes. Anotācija sniedz ieskatu tēmas būtībā - tā ir saistīta ar šaha spēles un datorprogrammu ieviešanu, lai radītu intriģējošus un sarežģītus uzdevumus spēlētājiem, kā arī attīstīt prasmes un stratēģijas šaha spēlē. Šaha uzdevumu ģenerēšana var palīdzēt uzlabot spēlētāju spējas, veicināt attiecīgās tehnoloģijas attīstību, kā arī nodrošināt izaugsmi attiecīgajā nozarē.",1
32,Serveru sistēmu un VPN ieviešana uzņēmumā,"Šajā rakstā apskatīta serveru sistēmu un VPN (virtuālā privātā tīkla) ieviešana uzņēmumā. Autori izskata, kā uzlabot darba procesus un datu drošību ar šīm tehnoloģijām, kas palīdzēs uzņēmumam tikt galā ar izaicinājumiem, kas saistīti ar piekļuvi datiem no attālām vietām, kā arī nodrošināt aizsardzību pret apdraudējumiem, kas saistīti arī ar globālo tīklu. Raksts apkopo visus svarīgos jautājumus un detaļas, kurām uzņēmumiem jāpievērš uzmanība, gatavojoties šādam uzlabojumam. Galvenie uzdevumi ir: izprast, kā darbojas serveri un VPN, pārvaldīt uzstādīšanas procesu, nodrošināt datu drošību, uzraudzīt sistēmas darbību un nodrošināt, lai visi darbinieki varētu efektīvi izmantot jaunas tehnoloģijas. Kopumā raksts ir noderīgs ieviešanas projekta vadītājiem un speciālistiem, kā arī visas organizācijas vadībai, kas vēlas uzlabot savu IT infrastruktūru un nodrošināt datu aizsardzību.",1
33,Latvijas nekustamā īpašuma tirgus datu kopas izveide un analīze,"Šī pētniecības darba anotācija apraksta Latvijas nekustamā īpašuma tirgus datu kopas izveidi un analīzi. Darba mērķis ir apkopot un izvērtēt dažādu nekustamā īpašuma kategoriju cenas un to izmaiņas laika gaitā. Pētījums sastāv no diviem galvenajiem posmiem - datu apkopošana un analīze. Pirmajā posmā tiks apkopota informācija no dažādām avotiem, ieskaitot publiskas datu bāzes un legendārus nekustamā īpašuma darījumus. Otrajā posmā tiks izmantoti dažādi analīzes instrumenti, lai iegūtu vēl dziļāku izpratni par Latvijas nekustamā īpašuma tirgus tendencēm. Pētniecības darba rezultāti sniegs ieskatu par jaunākajiem Latvijas nekustamā īpašuma tirgus notikumiem, kas var kalpot kā noderīga informācija gan ekspertiem, gan arī to personām, kuras plāno iegādāties/izplatīt nekustamo īpašumu.",1
34,Atvērtā koda klientu attiecību pārvaldīšanas sistēmu (CRM) izvērtējums izmantošanai Datorikas fakultātē,"Šajā rakstā tiek izskatīts atvērtā koda klientu attiecību pārvaldīšanas sistēmas (CRM) izmantošanas potenciāls Datorikas fakultātē. Rakstā apskatīts, kādas priekšrocības var nodrošināt atvērtā koda CRM sistēmas, kā arī izvērtēta, kādas varētu būt šīs sistēmas trūkumi. Tiek aprakstītas arī konkrētas atvērtā koda CRM programmatūras iespējas, kas varētu būt noderīgas fakultātes darbam un pasniedzēju mācību procesa uzlabošanai. Raksts turpinās ar analīzi, kā atvērtā koda CRM sistēmu varētu integrēt un pielāgot Datorikas fakultātes darbībai un kāda potenciālā ietekme varētu būt šādai sistēmai uz fakultātes darbu, studentu attiecībām un vispārējo efektivitāti.",1
35,Neviendabīgu integrētu datu avotu evolūcijas apstrāde,"Šajā tēmā tiek aplūkota neviendabīgu integrētu datu avotu evolūcijas apstrāde, kas ir svarīgs uzdevums datu zinātnē un informācijas tehnoloģijās. Anotācija apkopo šīs tēmas būtību un uzskata, ka tā ir nozīmīga, jo datu apjoms un dažādība turpina pieaugt, tādējādi ļaujot izstrādāt jaunas metodes un tehnoloģijas datu integrēšanai un apstrādei. Šajā kontekstā ir iezīmētas un novērtētas trīs pamata pieejas integrētas datu avotu evolūcijas apstrādei: semantiskais modelēšana, tīkla struktūras analīze un mašīnmācīšanās algoritmi.  Tādējādi anotācija piedāvā ieskatu šajā dinamiskajā un izaicinošajā jomā, kas prasa turpināt pētniecisko darbu un izstrādāt jaunas tehnoloģijas to risināšanai.",1
36,Krāteru identificēšana uz astronomiskā ķermeņa virsmas attēla,"Anotācija: Šajā rakstā apskatīts krāteru identificēšanas process uz astronomiskā ķermeņa virsmas attēla. Pētījuma mērķis ir noteikt, kā optimizēt krāteru atpazīšanas algoritmus, izmantojot gan manuālu, gan automātisku metožu salīdzinājumu. Rakstā izzinātas dažādas tehnoloģijas, kas palīdzētu uzlabot krāteru atpazīšanas procesu, piemēram, dziļas mācīšanās algoritmi, neuronu tīkli un citi. Šīs tehnoloģijas var palīdzēt uzlabot un īstenot efektīvāku krāteru identifikāciju.",1
37,Eiropas un Latvijas atvērto datu portālu analīze un salīdzinājums,"Anotācija: Šajā pētījumā tiek veikta Eiropas un Latvijas atvērto datu portālu analīze un salīdzinājums. Tiešsaistes atvērto datu portāli ir kļuvuši par nepieciešamu instrumentu, lai nodrošinātu datu atklātību un palielinātu pārredzamību kā valsts institūcijās, tā arī privātajā sektorā. Pētījums apskata atvērto datu portālu saturu un funkcionalitāti, kā arī to, kā tiem tiek nodrošināta datu aizsardzība, pieejamība un pieņemamība lietotājiem. Pētījums galvenokārt pamatojas uz dati, kas savākti no Eiropas un Latvijas valsts atvērto datu portāliem, kā arī intervējot portālu darbiniekus. Rezultāti ļauj salīdzināt abu valstu datu portālus un novērtēt to efektivitāti un atbilstību atvērto datu filozofijai.",1
38,Dziļo viltojumu atpazīšana,"Dziļo viltojumu atpazīšana ir aktuāla un nepieciešama tema, kas saistīta ar tehnoloģiju attīstību un interneta izmantošanas popularizāciju. Dziļie vilti (deepfakes) ir manipulācijas ar digitāliem attēliem, video un skaņu failiem, kas var būt bīstami sabiedrības uzticībai, informācijas uztverei un cilvēku privātumam. Latvijā par dziļajiem viltojumiem tiek runāts vēl nedaudz, tomēr to radīšanas tehnoloģijas ir pieejamas ikvienam interneta lietotājam. Anotācijā tiks apskatītas dziļo viltojumu problēmas, to izplatīšanas riski, iespējamie novēršanas un atpazīšanas veidi, kā arī sadarbības iespējas starp valsts iestādēm, uzņēmējiem, ekspertiem un sabiedrību.",1
